,transcription,action,object,location
9453,Turn it up,increase,volume,none
9454,Go get me my socks,bring,socks,none
9455,Make it hotter,increase,heat,none
9456,Lamp on,activate,lamp,none
9457,Lamp off,deactivate,lamp,none
9458,Turn up the heat in the kitchen,increase,heat,kitchen
9459,I need volume,increase,volume,none
9460,Bedroom heat up,increase,heat,bedroom
9461,Start the music,activate,music,none
9462,Increase the temperature,increase,heat,none
9463,Turn off the music,deactivate,music,none
9464,Bring shoes,bring,shoes,none
9465,Turn off the lights in the bedroom,deactivate,lights,bedroom
9466,Pause,deactivate,music,none
9467,Decrease the temperature in the kitchen,decrease,heat,kitchen
9468,Bring socks,bring,socks,none
9469,Turn the bathroom lights on,activate,lights,washroom
9470,Decrease the heating,decrease,heat,none
9471,Bring the newspaper,bring,newspaper,none
9472,Pause the music,deactivate,music,none
9473,"I need to hear this, increase the volume",increase,volume,none
9474,Turn the washroom lights on,activate,lights,washroom
9475,Turn the lamp off,deactivate,lamp,none
9476,Turn the heat up in the kitchen,increase,heat,kitchen
9477,Get me some juice,bring,juice,none
9478,Increase the sound volume,increase,volume,none
9479,Turn up the temperature,increase,heat,none
9480,Start the music,activate,music,none
9481,Get me my socks,bring,socks,none
9482,Turn volume up,increase,volume,none
9483,Increase the temperature,increase,heat,none
9484,Go get me my shoes,bring,shoes,none
9485,Turn the kitchen lights on,activate,lights,kitchen
9486,Volume up,increase,volume,none
9487,Bedroom heat down,decrease,heat,bedroom
9488,Turn the bedroom heat down,decrease,heat,bedroom
9489,Set my phone's language to Korean,change language,Korean,none
9490,Switch off the lights,deactivate,lights,none
9491,Turn the lights off,deactivate,lights,none
9492,Less heat,decrease,heat,none
9493,Set language to English,change language,English,none
9494,Turn the heat up in the bathroom,increase,heat,washroom
9495,Volume mute,decrease,volume,none
9496,Kitchen heat up,increase,heat,kitchen
9497,Switch off the lights in the bedroom,deactivate,lights,bedroom
9498,"I couldn't hear anything, turn up the volume",increase,volume,none
9499,Make it hotter,increase,heat,none
9500,Bring my shoes,bring,shoes,none
9501,OK now switch the main language to German,change language,German,none
9502,Turn up the heat in the washroom,increase,heat,washroom
9503,Turn off the lights,deactivate,lights,none
9504,"I couldn't hear anything, turn up the volume",increase,volume,none
9505,"It’s too loud, turn it down",decrease,volume,none
9506,Go get me my shoes,bring,shoes,none
9507,Turn off the lights,deactivate,lights,none
9508,Turn down the heat in the washroom,decrease,heat,washroom
9509,Turn the temperature up,increase,heat,none
9510,Turn up the heat in the bathroom,increase,heat,washroom
9511,Stop,deactivate,music,none
9512,Start the music,activate,music,none
9513,Increase the volume,increase,volume,none
9514,Switch on the lights,activate,lights,none
9515,Turn on the lights,activate,lights,none
9516,Set language to German,change language,German,none
9517,Go get me my socks,bring,socks,none
9518,Increase the heating in the washroom,increase,heat,washroom
9519,Bathroom heat down,decrease,heat,washroom
9520,Decrease the heating in the kitchen,decrease,heat,kitchen
9521,Switch the bedroom lights off,deactivate,lights,bedroom
9522,Switch on the kitchen lights,activate,lights,kitchen
9523,Get me my shoes,bring,shoes,none
9524,Turn up the bedroom heat,increase,heat,bedroom
9525,Far too loud,decrease,volume,none
9526,Play music,activate,music,none
9527,Increase the heating in the bathroom,increase,heat,washroom
9528,Turn the lights on,activate,lights,none
9529,I need volume,increase,volume,none
9530,Switch off the washroom lights,deactivate,lights,washroom
9531,Decrease volume,decrease,volume,none
9532,Increase the heating in the kitchen,increase,heat,kitchen
9533,Turn it up,increase,volume,none
9534,Bedroom heat up,increase,heat,bedroom
9535,I need to practice my German. Switch the language,change language,German,none
9536,Bring me my shoes,bring,shoes,none
9537,Make it cooler,decrease,heat,none
9538,Decrease the heating in the kitchen,decrease,heat,kitchen
9539,I need to practice my Chinese. Switch the language,change language,Chinese,none
9540,I need to practice my Korean. Switch the language,change language,Korean,none
9541,Turn the temperature up in the bathroom,increase,heat,washroom
9542,Turn down the temperature,decrease,heat,none
9543,Lights on in the bathroom,activate,lights,washroom
9544,Lights on,activate,lights,none
9545,Turn volume up,increase,volume,none
9546,Switch off the washroom lights,deactivate,lights,washroom
9547,Turn the sound up,increase,volume,none
9548,Volume up,increase,volume,none
9549,Turn the heat up,increase,heat,none
9550,Make it quieter,decrease,volume,none
9551,Go get the newspaper,bring,newspaper,none
9552,Allow a different language,change language,none,none
9553,Bathroom lights on,activate,lights,washroom
9554,Turn off the music,deactivate,music,none
9555,Increase the temperature in the washroom,increase,heat,washroom
9556,Volume down,decrease,volume,none
9557,Allow a different language,change language,none,none
9558,Turn off the kitchen lights,deactivate,lights,kitchen
9559,Turn up the heat,increase,heat,none
9560,Turn on the kitchen lights,activate,lights,kitchen
9561,Switch on the bathroom lights,activate,lights,washroom
9562,Set language to Chinese,change language,Chinese,none
9563,Decrease the heating in the washroom,decrease,heat,washroom
9564,Switch the lights off in the kitchen,deactivate,lights,kitchen
9565,Get me my socks,bring,socks,none
9566,Turn up the heat in the bathroom,increase,heat,washroom
9567,Turn up the heat in the washroom,increase,heat,washroom
9568,Turn sound down,decrease,volume,none
9569,I can't hear that,increase,volume,none
9570,"It’s too loud, turn the volume down",decrease,volume,none
9571,Washroom lights off,deactivate,lights,washroom
9572,Get me my shoes,bring,shoes,none
9573,Washroom lights off,deactivate,lights,washroom
9574,Switch off the washroom lights,deactivate,lights,washroom
9575,Pause the music,deactivate,music,none
9576,Set my phone's language to Chinese,change language,Chinese,none
9577,Heat up,increase,heat,none
9578,Lamp on,activate,lamp,none
9579,Bring me the newspaper,bring,newspaper,none
9580,Turn the lights off in the kitchen,deactivate,lights,kitchen
9581,Quieter,decrease,volume,none
9582,Could you decrease the heating please?,decrease,heat,none
9583,Too loud,decrease,volume,none
9584,Bedroom heat down,decrease,heat,bedroom
9585,Turn the bedroom lights on,activate,lights,bedroom
9586,Go get me some juice,bring,juice,none
9587,Kitchen heat up,increase,heat,kitchen
9588,Bring shoes,bring,shoes,none
9589,Turn up the volume,increase,volume,none
9590,Turn sound down,decrease,volume,none
9591,Bring my shoes,bring,shoes,none
9592,Increase the heating in the bedroom,increase,heat,bedroom
9593,Decrease the heating in the washroom,decrease,heat,washroom
9594,Reduce audio volume,decrease,volume,none
9595,Get me my shoes,bring,shoes,none
9596,Bedroom lights on,activate,lights,bedroom
9597,Louder please,increase,volume,none
9598,Could you decrease the heating please?,decrease,heat,none
9599,Switch off the lamp,deactivate,lamp,none
9600,Lights on,activate,lights,none
9601,Turn down the temperature,decrease,heat,none
9602,Bathroom heat up,increase,heat,washroom
9603,Decrease the temperature in the bathroom,decrease,heat,washroom
9604,Play music,activate,music,none
9605,Turn down the volume,decrease,volume,none
9606,Kitchen heat down,decrease,heat,kitchen
9607,More heat,increase,heat,none
9608,Go get me my socks,bring,socks,none
9609,Switch off the washroom lights,deactivate,lights,washroom
9610,"I need to hear this, increase the volume",increase,volume,none
9611,Turn sound down,decrease,volume,none
9612,Decrease the temperature in the washroom,decrease,heat,washroom
9613,Turn the bathroom lights on,activate,lights,washroom
9614,I need to practice my English. Switch the language,change language,English,none
9615,Set the language,change language,none,none
9616,Could you decrease the heating?,decrease,heat,none
9617,Switch on the washroom lights,activate,lights,washroom
9618,Set the language,change language,none,none
9619,Increase the temperature in the bedroom,increase,heat,bedroom
9620,Increase the temperature in the bathroom,increase,heat,washroom
9621,Switch the lights on,activate,lights,none
9622,More heat,increase,heat,none
9623,Set the language,change language,none,none
9624,Turn off the lamp,deactivate,lamp,none
9625,Turn it down,decrease,volume,none
9626,Turn down the washroom temperature,decrease,heat,washroom
9627,Make it louder,increase,volume,none
9628,I need to practice my English. Switch the language,change language,English,none
9629,Turn up the temperature in the kitchen,increase,heat,kitchen
9630,Turn the temperature down in the washroom,decrease,heat,washroom
9631,Switch on the lights in the bedroom,activate,lights,bedroom
9632,Turn the heat up in the kitchen,increase,heat,kitchen
9633,Stop,deactivate,music,none
9634,Decrease the temperature in the washroom,decrease,heat,washroom
9635,"It’s too loud, turn it down",decrease,volume,none
9636,Turn on the lamp,activate,lamp,none
9637,Turn the temperature down,decrease,heat,none
9638,Turn the temperature up in the washroom,increase,heat,washroom
9639,Turn the kitchen lights on,activate,lights,kitchen
9640,Quieter,decrease,volume,none
9641,Turn up the bedroom heat,increase,heat,bedroom
9642,Switch on the lights in the bedroom,activate,lights,bedroom
9643,Turn the heat up,increase,heat,none
9644,Set language to German,change language,German,none
9645,Turn the heat down in the bathroom,decrease,heat,washroom
9646,Turn the volume down,decrease,volume,none
9647,Turn the temperature down,decrease,heat,none
9648,Bring juice,bring,juice,none
9649,Louder phone,increase,volume,none
9650,I need to practice my German. Switch the language,change language,German,none
9651,Bring me some juice,bring,juice,none
9652,Increase the heating,increase,heat,none
9653,Turn off the lights,deactivate,lights,none
9654,I need to practice my Chinese. Switch the language,change language,Chinese,none
9655,More heat,increase,heat,none
9656,Turn the volume down,decrease,volume,none
9657,Turn off the washroom lights,deactivate,lights,washroom
9658,Bring me some juice,bring,juice,none
9659,Bring newspaper,bring,newspaper,none
9660,Switch on the lights in the bedroom,activate,lights,bedroom
9661,Start the music,activate,music,none
9662,Switch off the lights in the bedroom,deactivate,lights,bedroom
9663,Decrease the heating in the washroom,decrease,heat,washroom
9664,Make the music softer,decrease,volume,none
9665,Start the music,activate,music,none
9666,Set language to German,change language,German,none
9667,"I need to hear this, increase the volume",increase,volume,none
9668,Could you increase the heating?,increase,heat,none
9669,Turn down the heat,decrease,heat,none
9670,Bring newspaper,bring,newspaper,none
9671,That's too quiet,increase,volume,none
9672,Turn on the lamp,activate,lamp,none
9673,Turn up the temperature in the kitchen,increase,heat,kitchen
9674,Turn on the bathroom lights,activate,lights,washroom
9675,Turn up the bathroom temperature,increase,heat,washroom
9676,Switch language,change language,none,none
9677,Lamp on,activate,lamp,none
9678,Turn the bedroom lights on,activate,lights,bedroom
9679,Go get the newspaper,bring,newspaper,none
9680,Change the language,change language,none,none
9681,Switch the lights off in the kitchen,deactivate,lights,kitchen
9682,Less heat,decrease,heat,none
9683,Turn the volume up,increase,volume,none
9684,Set my phone's language to Korean,change language,Korean,none
9685,Decrease the heating in the bedroom,decrease,heat,bedroom
9686,Fetch my socks,bring,socks,none
9687,Lights on in the bedroom,activate,lights,bedroom
9688,Switch on the lights,activate,lights,none
9689,Switch the lights on,activate,lights,none
